Entry	Subcellular location [CC]	Protein names	Gene names	Entry name	Intramembrane	Transmembrane	Topological domain
P13801	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:1744037, ECO:0000269|PubMed:18378688, ECO:0000269|PubMed:9663680}; Multi-pass membrane protein {ECO:0000269|PubMed:1744037, ECO:0000269|PubMed:18378688, ECO:0000269|PubMed:9663680}. Note=Localized to the sporulation septum.	Sporulation sigma-E factor-processing peptidase (EC 3.4.23.-) (Membrane-associated aspartic protease) (Stage II sporulation protein GA)	spoIIGA BSU15310	SP2G_BACSU		TRANSMEM 7..27;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 36..55;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 61..78;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 88..105;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 130..147;  /note="Helical";  /evidence="ECO:0000255"	
O31422	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20805502}. Note=Probably secreted by the ABC transporter SkfEF. {ECO:0000305}.	Sporulation killing factor (SKF) (Sporulation-killing factor SkfA)	skfA ybcO BSU01910	SKFA_BACSU			
P39135		4'-phosphopantetheinyl transferase Sfp (EC 2.7.8.7) (Surfactin synthase-activating enzyme)	sfp lpa-8 BSU03570	SFP_BACSU			
P39155		Protein-arginine-phosphatase (PAP) (EC 3.9.1.2) (Phosphoarginine phosphatase)	ywlE BSU36930 ipc-31d	PAP_BACSU			
P39765		Bifunctional protein PyrR [Includes: Pyrimidine operon regulatory protein; Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9)]	pyrR BSU15470	PYRR_BACSU			
P17896	SUBCELLULAR LOCATION: Forespore intermembrane space.	SpoIVB peptidase (EC 3.4.21.116) (Sporulation factor IV B protease) (Stage IV sporulation protein B) [Cleaved into: SpoIVB peptidase 45 kDa isoform; SpoIVB peptidase 43 kDa isoform; SpoIVB peptidase 42 kDa isoform]	spoIVB BSU24230	SP4B_BACSU			
P00497		Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)	purF BSU06490	PUR1_BACSU			
P37527		Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1) (Superoxide-inducible protein 7) (SOI7)	pdxS yaaD BSU00110	PDXS_BACSU			
O34530	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01820}.	Small ribosomal subunit biogenesis GTPase RsgA (EC 3.6.1.-) (Ribosome-associated GTPase CpgA)	rsgA cpgA engC yloQ BSU15780	RSGA_BACSU			
P16655	SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|HAMAP-Rule:MF_00912, ECO:0000269|PubMed:10852898, ECO:0000269|PubMed:18208530}; Single-pass type II membrane protein {ECO:0000255|HAMAP-Rule:MF_00912, ECO:0000269|PubMed:10852898, ECO:0000269|PubMed:18208530}. Note=Localizes to the division septum. Localization requires FtsZ and DivIC. Localization of DivIB and DivIC is codependent at high temperatures.	Cell division protein DivIB (Cell division and sporulation protein) (Division initiation protein DivIB)	divIB dds BSU15240	DIVIB_BACSU		TRANSMEM 33..53;  /note="Helical";  /evidence="ECO:0000255|HAMAP-Rule:MF_00912"	TOPO_DOM 1..32;  /note="Cytoplasmic";  /evidence="ECO:0000255|HAMAP-Rule:MF_00912"; TOPO_DOM 54..263;  /note="Extracellular";  /evidence="ECO:0000255|HAMAP-Rule:MF_00912"
P42412		Malonate-semialdehyde dehydrogenase (MSA dehydrogenase) (EC 1.2.1.-) (Methylmalonate-semialdehyde dehydrogenase) (MMSA dehydrogenase) (MMSDH) (MSDH) (EC 1.2.1.27)	iolA mmsA yxdA BSU39760 E83A	IOLA_BACSU			
P37869	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00318, ECO:0000269|PubMed:15003462}. Secreted {ECO:0000255|HAMAP-Rule:MF_00318, ECO:0000269|PubMed:15003462}. Cell surface {ECO:0000255|HAMAP-Rule:MF_00318, ECO:0000269|PubMed:15003462}. Note=Fractions of enolase are present in both the cytoplasm and on the cell surface. The export of enolase possibly depends on the covalent binding to the substrate at Lys-339; once secreted, it remains attached to the cell surface.	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno BSU33900	ENO_BACSU			
A0A2K4Z9N4		Uncharacterized protein	BSU_40576	A0A2K4Z9N4_BACSU			
A0A2K4Z9M4		Aspartate kinase (EC 2.7.2.4)	lysCB BSU_28475	A0A2K4Z9M4_BACSU			
L8E9Z2		Putative antitoxin	BSU_14568	L8E9Z2_BACSU			
A0A2K4Z9N1		Uncharacterized protein	BSU_37569	A0A2K4Z9N1_BACSU			
A0A2K4Z9I2		Sporulation-specific protein	yjcB BSU_11800	A0A2K4Z9I2_BACSU			
A0A2K4Z9N2		Doubtful CDS (Putative in frame frameshift)	BSU_36079	A0A2K4Z9N2_BACSU			
A0A2K4Z9J6		Uncharacterized protein	BSU_19915	A0A2K4Z9J6_BACSU			
A0A2K4Z9K9		Uncharacterized protein	BSU_26569	A0A2K4Z9K9_BACSU			
A0A2K4Z9F4		Uncharacterized protein	BSU_04345	A0A2K4Z9F4_BACSU			
A0A2K4Z9J3		Uncharacterized protein	yzzP BSU_17845	A0A2K4Z9J3_BACSU			
A0A2K4Z9L6		Uncharacterized protein	BSU_27035	A0A2K4Z9L6_BACSU			
A0A6M3ZGR5	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01925}.	Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2) (PCA reductase)	proC HIR78_10035	A0A6M3ZGR5_BACSU			
A0A6M3Z8C1		GNAT family N-acetyltransferase	HIR78_03940	A0A6M3Z8C1_BACSU			
A0A6M4JQ01	SUBCELLULAR LOCATION: Bacterial flagellum basal body {ECO:0000256|RuleBase:RU362116}.	Flagellar basal body protein	flhP HIR78_20905	A0A6M4JQ01_BACSU			
A0A6M4JL18		Uncharacterized protein	HIR78_15260	A0A6M4JL18_BACSU			
A0A6M4JNJ8		Methylglyoxal synthase (MGS) (EC 4.2.3.3)	mgsA HIR78_13505	A0A6M4JNJ8_BACSU			
A0A6M3ZFA6	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|HAMAP-Rule:MF_00021}.	Probable tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase)	thiI HIR78_17230	A0A6M3ZFA6_BACSU			
A0A6M3ZH20	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00123}.	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	argS HIR78_21405	A0A6M3ZH20_BACSU			
A0A6M4JH89		Uncharacterized protein	HIR78_10610	A0A6M4JH89_BACSU			
A0A6M4JQD6		Glycosyltransferase family 2 protein	HIR78_21735	A0A6M4JQD6_BACSU			
A0A6M3ZEW4		Uncharacterized protein	HIR78_06655	A0A6M3ZEW4_BACSU			
A0A6M4JMX1		Spore coat morphogenetic protein SpoVID	spoVID HIR78_16480	A0A6M4JMX1_BACSU			
A0A6M4JRB8	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	MFS transporter	HIR78_06180	A0A6M4JRB8_BACSU			
A0A6M4JII0		TetR/AcrR family transcriptional regulator	HIR78_09275	A0A6M4JII0_BACSU			
A0A6M3ZHT1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Bacilysin exporter BacE	bacE HIR78_21595	A0A6M3ZHT1_BACSU			
A0A6M4JJH3	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	MFS transporter	HIR78_14805	A0A6M4JJH3_BACSU			
A0A6M3ZFC7		Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	mutM fpg HIR78_16970	A0A6M3ZFC7_BACSU			
A0A6M3ZDC9		Zinc-finger domain-containing protein	HIR78_13220	A0A6M3ZDC9_BACSU			
A0A6M3ZC09		YozD family protein	HIR78_10710	A0A6M3ZC09_BACSU			
A0A6M3ZJJ7		Beta-phosphoglucomutase (EC 5.4.2.6)	pgmB HIR78_19935	A0A6M3ZJJ7_BACSU			
A0A6M3ZH02		Uncharacterized protein	HIR78_20185	A0A6M3ZH02_BACSU			
A0A6M3ZF01		L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	araD HIR78_16825	A0A6M3ZF01_BACSU			
A0A6M4JQQ3	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00965}.	ATP-dependent RNA helicase DbpA (EC 3.6.4.13)	dbpA HIR78_22315	A0A6M4JQQ3_BACSU			
A0A6M4JMF4	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	Holin family protein	HIR78_17755	A0A6M4JMF4_BACSU			
A0A6M3ZHR5		Amino acid permease	HIR78_15930	A0A6M3ZHR5_BACSU			
A0A6M4JMY4		DNA-protecting protein DprA	dprA HIR78_08795	A0A6M4JMY4_BACSU			
A0A6M3Z972		NTD biosynthesis operon transcriptional regulator NtdR	ntdR HIR78_05855	A0A6M3Z972_BACSU			
A0A6M3ZFL7	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004401}; Single-pass type II membrane protein {ECO:0000256|ARBA:ARBA00004401}. Membrane {ECO:0000256|ARBA:ARBA00004606, ECO:0000256|RuleBase:RU362042}; Single-pass type II membrane protein {ECO:0000256|ARBA:ARBA00004606, ECO:0000256|RuleBase:RU362042}.	Signal peptidase I (EC 3.4.21.89)	lepB HIR78_07930	A0A6M3ZFL7_BACSU		TRANSMEM 20..41;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU003993"	
A0A6M3ZCC5		Uncharacterized protein	HIR78_12155	A0A6M3ZCC5_BACSU		TRANSMEM 31..52;  /note="Helical";  /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 58..79;  /note="Helical";  /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 91..112;  /note="Helical";  /evidence="ECO:0000256|SAM:Phobius"	
A0A6M3Z820		Uncharacterized protein	HIR78_03560	A0A6M3Z820_BACSU			
A0A6M4JMB4		L-arabinose isomerase (EC 5.3.1.4)	araA HIR78_16835	A0A6M4JMB4_BACSU			
A0A6M4JR53		YydF family exported signaling peptide	HIR78_22865	A0A6M4JR53_BACSU			
A0A6M3ZH60		Aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	HIR78_19775	A0A6M3ZH60_BACSU			
A0A6M3ZIK0		Replicative DNA helicase (EC 3.6.4.12)	dnaB HIR78_23040	A0A6M3ZIK0_BACSU			
A0A6M3ZJU8	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	Carbon starvation protein A	HIR78_16790	A0A6M3ZJU8_BACSU			
A0A6M3Z8J7	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00420}.	Phosphoribosylformylglycinamidine synthase subunit PurL (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit II) (FGAR amidotransferase II) (FGAR-AT II) (Glutamine amidotransferase PurL) (Phosphoribosylformylglycinamidine synthase subunit II)	purL HIR78_03705	A0A6M3Z8J7_BACSU			
A0A6M3ZLE6		UV DNA damage endonuclease (UV-endonuclease) (UVED) (EC 3.-.-.-)	uvsE HIR78_21335	A0A6M3ZLE6_BACSU			
A0A6M4JH52		MBL fold metallo-hydrolase	HIR78_10400	A0A6M4JH52_BACSU			
A0A6M4JRE8	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU366012}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU366012}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	Sodium/proline symporter (Proline permease)	putP HIR78_01890	A0A6M4JRE8_BACSU		TRANSMEM 5..20;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU366012"; TRANSMEM 61..87;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU366012"; TRANSMEM 118..137;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU366012"; TRANSMEM 157..179;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU366012"; TRANSMEM 186..203;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU366012"; TRANSMEM 223..243;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU366012"; TRANSMEM 269..290;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU366012"; TRANSMEM 310..332;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU366012"; TRANSMEM 361..381;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU366012"; TRANSMEM 387..411;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU366012"; TRANSMEM 418..437;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU366012"; TRANSMEM 443..463;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU366012"	
A0A6M3Z9V6		Thiazole tautomerase TenI	tenI HIR78_06435	A0A6M3Z9V6_BACSU			
A0A6M3ZAP9		SplAB operon transcriptional regulator SplA	splA HIR78_07675	A0A6M3ZAP9_BACSU			
A0A6M3Z6C2		tRNA-specific adenosine deaminase (EC 3.5.4.33)	tadA HIR78_00120	A0A6M3Z6C2_BACSU			
A0A6M3ZDG5		Menaquinol-cytochrome c reductase cytochrome b subunit	qcrB HIR78_13540	A0A6M3ZDG5_BACSU			
A0A6M3ZAI8	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|HAMAP-Rule:MF_00037}.	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase)	murB HIR78_08355	A0A6M3ZAI8_BACSU			
A0A6M3ZFZ0		GMP reductase (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase) (Guanosine monophosphate reductase)	guaC HIR78_18655	A0A6M3ZFZ0_BACSU			
A0A6M4JFX6		Uncharacterized protein	HIR78_08090	A0A6M4JFX6_BACSU			
A0A6M4JKK8		Replication termination protein (Replication terminator protein)	rtp HIR78_10040	A0A6M4JKK8_BACSU			
A0A6M3ZBN5		Non-ribosomal plipastatin synthetase PpsD	ppsD HIR78_09945	A0A6M3ZBN5_BACSU			
A0A6M4JIG5		Spore germination protein GerPD	gerPD HIR78_05920	A0A6M4JIG5_BACSU			
A0A6M4JQT1		Formimidoylglutamase (EC 3.5.3.8) (Formiminoglutamase) (Formiminoglutamate hydrolase)	hutG HIR78_22455	A0A6M4JQT1_BACSU			
A0A6M3ZHU5		Ribonuclease YxiD	yxiD rtbD HIR78_22410	A0A6M3ZHU5_BACSU			
A0A6M4JKJ5	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|HAMAP-Rule:MF_00283}.	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	pheT HIR78_16740	A0A6M4JKJ5_BACSU			
A0A6M3ZIK2		Diadenylate cyclase (DAC) (EC 2.7.7.85) (Cyclic-di-AMP synthase) (c-di-AMP synthase)	dacB HIR78_10585	A0A6M3ZIK2_BACSU			
A0A6M3ZK18		4Fe-4S dicluster domain-containing protein	HIR78_21325	A0A6M3ZK18_BACSU			
A0A6M3ZEC9	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01624}.	Arsenate reductase (EC 1.20.4.4)	arsC HIR78_15200	A0A6M3ZEC9_BACSU			
A0A6M3ZGB9		NifU family protein	HIR78_18700	A0A6M3ZGB9_BACSU			
A0A6M3ZGN8		HTH-type transcriptional regulator	HIR78_19505	A0A6M3ZGN8_BACSU			
A0A6M4JIX0		Anti-sigma-X factor RsiX	rsiX HIR78_13815	A0A6M4JIX0_BACSU			
A0A6M4JJP9		Uncharacterized protein	HIR78_08220	A0A6M4JJP9_BACSU			
A0A6M3ZE23		TIGR00375 family protein	HIR78_14075	A0A6M3ZE23_BACSU			
A0A6M4JIL6		Uncharacterized protein	HIR78_08775	A0A6M4JIL6_BACSU			
A0A6M4JJD7		Alpha-glucosidase/alpha-galactosidase	HIR78_04045	A0A6M4JJD7_BACSU			
A0A6M3Z885	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	MFS transporter	HIR78_04140	A0A6M3Z885_BACSU			
A0A6M3ZI32		Sigma Y negative regulator YxlD	yxlD HIR78_22100	A0A6M3ZI32_BACSU			
A0A6M4JMS8	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	Methyl-accepting chemotaxis protein McpB	mcpB HIR78_18195	A0A6M4JMS8_BACSU			
A0A6M4JR32	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|PIRNR:PIRNR026583}.	Cyclic-di-AMP phosphodiesterase (EC 3.1.4.-)	gdpP HIR78_23075	A0A6M4JR32_BACSU			
A0A6M3ZIA7		Uncharacterized protein	HIR78_22925	A0A6M3ZIA7_BACSU			
A0A6M3ZFF9		UPF0173 metal-dependent hydrolase HIR78_17145	HIR78_17145	A0A6M3ZFF9_BACSU			
A0A6M3ZD18		1-acyl-sn-glycerol-3-phosphate acyltransferase	HIR78_13135	A0A6M3ZD18_BACSU			
A0A6M4JR70		ATP-binding cassette domain-containing protein	HIR78_23150	A0A6M4JR70_BACSU			
A0A6M4JNL4		Sporulation cell-cell signaling protein BofC	bofC HIR78_16285	A0A6M4JNL4_BACSU			
A0A6M3Z9P0		Uncharacterized protein	HIR78_06845	A0A6M3Z9P0_BACSU			
A0A6M4JJ61	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00003}.	Ribosome-binding factor A	rbfA HIR78_09070	A0A6M4JJ61_BACSU			
A0A6M3ZKS8		ABC transporter ATP-binding protein	HIR78_19275	A0A6M3ZKS8_BACSU			
A0A6M3ZBE4	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00900}. Note=May associate with membranes. {ECO:0000256|HAMAP-Rule:MF_00900}.	GTPase HflX (GTP-binding protein HflX)	hflX HIR78_09455	A0A6M3ZBE4_BACSU			
A0A6M4JL03	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	Lipid II flippase MurJ	murJ HIR78_17465	A0A6M4JL03_BACSU			
A0A6M3ZDI5		GNAT family N-acetyltransferase	HIR78_12995	A0A6M3ZDI5_BACSU			
A0A6M4JRL8		Choline dehydrogenase	gbsB HIR78_18085	A0A6M4JRL8_BACSU			
A0A6M4JEQ8		50S ribosomal protein L10	rplJ HIR78_00665	A0A6M4JEQ8_BACSU			
A0A6M3ZHU2		Glycosyltransferase family 8 protein	HIR78_21965	A0A6M3ZHU2_BACSU			
A0A6M4JF46		Ureidoglycolate dehydrogenase (EC 1.1.1.154)	allD HIR78_06800	A0A6M4JF46_BACSU			
A0A6M3ZFZ1		Gamma carbonic anhydrase family protein	HIR78_17700	A0A6M3ZFZ1_BACSU			
A0A6M4JFL7		7-carboxy-7-deazaguanine synthase (CDG synthase) (EC 4.3.99.3) (Queuosine biosynthesis protein QueE)	queE HIR78_07570	A0A6M4JFL7_BACSU			
A0A6M4JEV1		Uncharacterized protein	HIR78_01560	A0A6M4JEV1_BACSU			
A0A6M4JNY4	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	Glycine betaine transporter OpuD	opuD HIR78_17475	A0A6M4JNY4_BACSU			
A0A6M4JLZ4		Spore coat protein YjzB	yjzB HIR78_06250	A0A6M4JLZ4_BACSU			
A0A6M3ZHW3		DUF2651 family protein	HIR78_22915	A0A6M3ZHW3_BACSU			
A0A6M3ZB41	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU364125}. Membrane {ECO:0000256|ARBA:ARBA00004167}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.	Flagellar protein FliL	fliL HIR78_08895	A0A6M3ZB41_BACSU		TRANSMEM 6..27;  /note="Helical";  /evidence="ECO:0000256|RuleBase:RU364125"	
A0A6M3ZJL1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01013}.	Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)	hisF HIR78_20100	A0A6M3ZJL1_BACSU			
A0A6M3ZAH1		Aminotransferase (EC 2.6.1.-)	HIR78_07715	A0A6M3ZAH1_BACSU			
